surface,kind,theta_in,theta_out,brdf,beta,weight,samples,params_json
flat_musou,"flat plate, its own Musou coating",20.0,30.0,0.0024848196210527944,0.007806291066995232,0.05714580475050963,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",20.0,40.0,0.0025844007845813597,0.008119134518772497,0.028918085795398504,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",20.0,50.0,0.002854664070179378,0.008968191671342272,0.012368334169744847,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",30.0,0.0,0.0027465834272578414,0.008628646317544711,0.004763217693932213,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",30.0,10.0,0.0025306665032823043,0.007950323295397457,0.026565753450876146,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",30.0,20.0,0.002467597330937535,0.007752185646891141,0.08311680658745493,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",30.0,30.0,0.0024506806090688754,0.007699040197745739,0.1524065851251435,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",30.0,40.0,0.002509203285674297,0.007882894608637742,0.07450137477411585,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",30.0,50.0,0.002675263615852623,0.008404588521978666,0.013925522801939485,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
flat_musou,"flat plate, its own Musou coating",40.0,0.0,0.00254415755049823,0.007992706670220243,0.004281498842372779,128,"{""backing"": 2.0, ""bot"": ""cone"", ""bot_depth"": 1.0, ""face_h"": 100.0, ""face_w"": 100.0, ""margin_depths"": 0.0, ""top"": ""comb"", ""top_depth"": 1.0}"
