tag,family,topology,depth,pitch,phi,seed,diffuse_frac,theta,rho,control,params_json
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d00,-40.0,0.00023060973035171628,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d00,40.0,0.00022840641031507403,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d76,0.0,0.0008890295284800231,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d76,-20.0,0.001180023537017405,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d76,20.0,0.001171066309325397,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d76,-40.0,0.0016838917508721352,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d76,40.0,0.0016771226655691862,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d100,0.0,0.0008787328843027353,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d100,-20.0,0.0014585696626454592,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d100,20.0,0.001461601466871798,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d100,-40.0,0.002146300161257386,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
P59_cone20,cone3d,cone,18.181818181818183,2.0,0.0,23,d100,40.0,0.0021461639553308487,0.04999997094273567,"{""backing"": 2.0, ""depth"": 18.181818181818183, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 2.0, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.07272727272727274, ""winding"": ""out""}"
