tag,family,theta,rho,control,depth,pitch,tip_across
V2_cone_d30_p375,cone3d,50.0,9.032771777128801e-05,0.049999795854091644,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,60.0,0.00011989147606072947,0.04999978840351105,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,70.0,0.00022051678388379514,0.04999978840351105,30.0,3.75,0.4
V2_cone_d30_p375,cone3d,80.0,0.0007964439573697746,0.049999773502349854,30.0,3.75,0.4
V2_flat_coating,ridge,-80.0,0.004520765505731106,0.04999979957938194,0.001,50.0,0.4
V2_flat_coating,ridge,-70.0,0.004775482229888439,0.049999795854091644,0.001,50.0,0.4
V2_flat_coating,ridge,-60.0,0.0048753004521131516,0.049999792128801346,0.001,50.0,0.4
V2_flat_coating,ridge,-50.0,0.004915772471576929,0.04999979957938194,0.001,50.0,0.4
V2_flat_coating,ridge,-40.0,0.0049346135929226875,0.049999795854091644,0.001,50.0,0.4
V2_flat_coating,ridge,-30.0,0.00494438037276268,0.049999795854091644,0.001,50.0,0.4
V2_flat_coating,ridge,-20.0,0.004949804395437241,0.049999792128801346,0.001,50.0,0.4
V2_flat_coating,ridge,-10.0,0.004952516872435808,0.049999792128801346,0.001,50.0,0.4
V2_flat_coating,ridge,0.0,0.004953328985720873,0.04999978840351105,0.001,50.0,0.4
V2_flat_coating,ridge,10.0,0.00495251314714551,0.049999792128801346,0.001,50.0,0.4
V2_flat_coating,ridge,20.0,0.004949791822582483,0.049999792128801346,0.001,50.0,0.4
V2_flat_coating,ridge,30.0,0.004944380838423967,0.049999795854091644,0.001,50.0,0.4
V2_flat_coating,ridge,40.0,0.004934603348374367,0.049999795854091644,0.001,50.0,0.4
V2_flat_coating,ridge,50.0,0.004915774799883366,0.04999979957938194,0.001,50.0,0.4
V2_flat_coating,ridge,60.0,0.00487526785582304,0.049999792128801346,0.001,50.0,0.4
V2_flat_coating,ridge,70.0,0.004775492940098047,0.049999795854091644,0.001,50.0,0.4
V2_flat_coating,ridge,80.0,0.004520792048424482,0.04999979957938194,0.001,50.0,0.4
