tag,family,topology,shape,pitch,open_frac,wall,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d76,-40.0,0.0028928094543516636,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d76,40.0,0.00285282451659441,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d100,0.0,0.0019746848847717047,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d100,-20.0,0.0024958564899861813,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d100,20.0,0.0024524980690330267,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d100,-40.0,0.003141238121315837,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o35,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,0.18182,23,d100,40.0,0.0030908461194485426,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d00,0.0,0.002513732062652707,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d00,-20.0,0.0020989265758544207,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d00,20.0,0.0021298376377671957,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d00,-40.0,0.002052154392004013,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d00,40.0,0.001972065307199955,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d76,0.0,0.0020257208961993456,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d76,-20.0,0.002305462956428528,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d76,20.0,0.0022834192495793104,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d76,-40.0,0.0027274221647530794,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d76,40.0,0.0026626118924468756,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d100,0.0,0.0018926607444882393,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d100,-20.0,0.002386821899563074,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d100,20.0,0.002350409748032689,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o55,perf,perforated pyramid,perforated pyramid,5.5,0.55,0.5,0.18182,23,d100,-40.0,0.0029566253069788218,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.55, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
