tag,family,topology,feature,seed,diffuse_frac,pitch,depth,aspect,exposed_est,theta,rho,control,params_json
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,0.0,0.0013668584870174527,0.04997251555323601,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,-20.0,0.001584306824952364,0.049963317811489105,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,-40.0,0.0021964714396744967,0.049975261092185974,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,20.0,0.0015596881275996566,0.049967870116233826,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,40.0,0.002164776436984539,0.04997161403298378,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,0.0,0.0013058368349447846,0.04997251555323601,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,-20.0,0.0017943574348464608,0.049963317811489105,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,-40.0,0.0026000835932791233,0.049975261092185974,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,20.0,0.0017742267809808254,0.049967870116233826,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t06_s23,topo,shingle,0.2,23,d100,3.75,30.0,8.0,0.0708216330205941,40.0,0.00255356403067708,0.04997161403298378,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 6.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,0.0,0.001078992267139256,0.04998723417520523,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,-20.0,0.0009510052623227239,0.04998402297496796,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,-40.0,0.0010136356577277184,0.04998904839158058,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,20.0,0.0009497781866230071,0.04998340085148811,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d00,3.75,30.0,8.0,0.0708216330205941,40.0,0.0010161761892959476,0.04998878762125969,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,0.0,0.0016518878983333707,0.04998723417520523,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,-20.0,0.0017745221266523004,0.04998402297496796,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
F200_SHIN_p0375_d030_t12_s23,topo,shingle,0.2,23,d76,3.75,30.0,8.0,0.0708216330205941,-40.0,0.0023028620053082705,0.04998910054564476,"{""azimuth_jitter"": 180.0, ""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 3.75, ""plate_over"": 1.15, ""plate_t_bot"": 0.9, ""plate_t_top"": 0.2, ""seed"": 23, ""tilt_deg"": 12.0, ""tilt_jitter"": 0.0, ""topology"": ""shingle""}"
