tag,family,theta,rho,ratio,control,depth_mm,pitch_mm,tip_mm,tip_fraction,aspect
F_gr_d30_p75_t02,ridge,-20.0,0.00011672350956359878,0.002334479896694663,0.049999792128801346,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,-10.0,0.00011267816444160417,0.0022535726578890762,0.049999792128801346,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,0.0,0.00014844356337562203,0.0029688838316203384,0.04999978840351105,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,10.0,0.00011245300993323326,0.0022490695490003255,0.049999792128801346,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,20.0,0.00011677142174448818,0.0023354381442962924,0.049999792128801346,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,30.0,0.00012956377759110183,0.0025912861318312603,0.049999795854091644,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,40.0,0.0001525493134977296,0.003050998726932722,0.049999795854091644,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,50.0,0.00019680247351061553,0.003936065247584903,0.04999979957938194,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,60.0,0.00030835968209430575,0.006167219281631404,0.049999792128801346,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,70.0,0.0007092719315551221,0.014185496549324014,0.049999795854091644,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p75_t02,ridge,80.0,0.002550942823290825,0.05101906097125115,0.04999979957938194,30.0,7.5,0.2,0.02666666666666667,4.0
F_gr_d30_p375_t02,ridge,-80.0,0.0015645911917090416,0.03129194926521707,0.04999979957938194,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,-70.0,0.0006536233122460544,0.01307251961894893,0.049999795854091644,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,-60.0,0.0004123637918382883,0.00824731012433059,0.049999792128801346,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,-50.0,0.00031333082006312907,0.006266641520545915,0.04999979957938194,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,-40.0,0.00026453082682564855,0.005290638137755539,0.049999795854091644,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,-30.0,0.00023672881070524454,0.004734595545071055,0.049999795854091644,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,-20.0,0.00021845211449544877,0.004369060453945647,0.049999792128801346,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,-10.0,0.00021278226631693542,0.004255663018934165,0.049999792128801346,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,0.0,0.0002362114901188761,0.004724249795070913,0.04999978840351105,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,10.0,0.00021298414503689855,0.0042597006101194055,0.049999792128801346,30.0,3.75,0.2,0.05333333333333334,8.0
F_gr_d30_p375_t02,ridge,20.0,0.0002182891039410606,0.004365800229303747,0.049999792128801346,30.0,3.75,0.2,0.05333333333333334,8.0
