tag,family,topology,diffuse_frac,pitch,depth,aspect,exposed_est,theta,rho,control,params_json
CONE_p0750_d20,cone3d,cone,d00,7.5,20.0,2.6666666666666665,0.0025796257624664436,-20.0,0.002929872367531061,0.04995772987604141,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d00,7.5,20.0,2.6666666666666665,0.0025796257624664436,-40.0,0.0030923704616725445,0.049999795854091644,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d00,7.5,20.0,2.6666666666666665,0.0025796257624664436,20.0,0.0029484350234270096,0.0499577596783638,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d00,7.5,20.0,2.6666666666666665,0.0025796257624664436,40.0,0.0031088031828403473,0.04999961704015732,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d76,7.5,20.0,2.6666666666666665,0.0025796257624664436,0.0,0.0026315301656723022,0.0499587319791317,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d76,7.5,20.0,2.6666666666666665,0.0025796257624664436,-20.0,0.0026848204433918,0.049955904483795166,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d76,7.5,20.0,2.6666666666666665,0.0025796257624664436,-40.0,0.003193129552528262,0.04996725544333458,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d76,7.5,20.0,2.6666666666666665,0.0025796257624664436,20.0,0.0026930414605885744,0.04995623603463173,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d76,7.5,20.0,2.6666666666666665,0.0025796257624664436,40.0,0.0031467238441109657,0.049966853111982346,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d100,7.5,20.0,2.6666666666666665,0.0025796257624664436,0.0,0.002791067585349083,0.049958255141973495,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
CONE_p0750_d20,cone3d,cone,d100,7.5,20.0,2.6666666666666665,0.0025796257624664436,-20.0,0.0028875479474663734,0.049955103546381,"{""backing"": 2.0, ""depth"": 20.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 6.5, ""pitch"": 7.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""tip_radius"": 0.2}"
