tag,diffuse_frac,power,bulge,lip,pitch,depth,aspect,seal_frac,theta,rho,control
P050_B00_L00_p0375_d50,d76,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,-40.0,0.0025498969480395317,0.04971923679113388
P050_B00_L00_p0375_d50,d76,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,20.0,0.0017267139628529549,0.04964282363653183
P050_B00_L00_p0375_d50,d76,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,40.0,0.002579979132860899,0.04972415044903755
P050_B00_L00_p0375_d50,d100,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,0.0,0.0014274765271693468,0.049670323729515076
P050_B00_L00_p0375_d50,d100,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,-20.0,0.001902998541481793,0.049640920013189316
P050_B00_L00_p0375_d50,d100,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,-40.0,0.002669829875230789,0.04963662847876549
P050_B00_L00_p0375_d50,d100,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,20.0,0.0018656824249774218,0.049637697637081146
P050_B00_L00_p0375_d50,d100,0.5,0.0,0.0,3.75,50.0,13.333333333333334,0.521,40.0,0.0026413090527057648,0.049638908356428146
P050_B00_L00_p0550_d20,d00,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,0.0,0.0068831779062747955,0.049905359745025635
P050_B00_L00_p0550_d20,d00,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,-20.0,0.006699443329125643,0.04990342631936073
P050_B00_L00_p0550_d20,d00,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,-40.0,0.008595854043960571,0.05000055581331253
P050_B00_L00_p0550_d20,d00,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,20.0,0.006837193388491869,0.04990450292825699
P050_B00_L00_p0550_d20,d00,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,40.0,0.008618752472102642,0.049999337643384933
P050_B00_L00_p0550_d20,d76,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,0.0,0.0037434352561831474,0.04990111291408539
P050_B00_L00_p0550_d20,d76,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,-20.0,0.0038156905211508274,0.049899470061063766
P050_B00_L00_p0550_d20,d76,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,-40.0,0.004722419194877148,0.049919236451387405
P050_B00_L00_p0550_d20,d76,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,20.0,0.003849178086966276,0.049900542944669724
P050_B00_L00_p0550_d20,d76,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,40.0,0.0047243013978004456,0.049914177507162094
P050_B00_L00_p0550_d20,d100,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,0.0,0.0033521573059260845,0.04989994689822197
P050_B00_L00_p0550_d20,d100,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,-20.0,0.00347103807143867,0.04989839717745781
P050_B00_L00_p0550_d20,d100,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,-40.0,0.003989589866250753,0.049892961978912354
P050_B00_L00_p0550_d20,d100,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,20.0,0.003442085115239024,0.04989934340119362
P050_B00_L00_p0550_d20,d100,0.5,0.0,0.0,5.5,20.0,3.6363636363636362,0.521,40.0,0.003930993378162384,0.04988744482398033
P050_B00_L00_p0550_d30,d00,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,0.0,0.0031603670213371515,0.04985285922884941
P050_B00_L00_p0550_d30,d00,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,-20.0,0.004007886629551649,0.04984850063920021
P050_B00_L00_p0550_d30,d00,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,-40.0,0.004881661385297775,0.04999479651451111
P050_B00_L00_p0550_d30,d00,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,20.0,0.003905633697286248,0.04984947293996811
P050_B00_L00_p0550_d30,d00,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,40.0,0.004758072085678577,0.04999757930636406
P050_B00_L00_p0550_d30,d76,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,0.0,0.002531463047489524,0.04984733462333679
P050_B00_L00_p0550_d30,d76,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,-20.0,0.002865541260689497,0.04984279349446297
P050_B00_L00_p0550_d30,d76,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,-40.0,0.003540575038641691,0.04986855760216713
P050_B00_L00_p0550_d30,d76,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,20.0,0.002810860052704811,0.04984332621097565
P050_B00_L00_p0550_d30,d76,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,40.0,0.0034485405776649714,0.049870651215314865
P050_B00_L00_p0550_d30,d100,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,0.0,0.0025713597424328327,0.049845464527606964
P050_B00_L00_p0550_d30,d100,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,-20.0,0.002852689241990447,0.04984084516763687
P050_B00_L00_p0550_d30,d100,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,-40.0,0.003495825221762061,0.04982888326048851
P050_B00_L00_p0550_d30,d100,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,20.0,0.002801350550726056,0.049841269850730896
P050_B00_L00_p0550_d30,d100,0.5,0.0,0.0,5.5,30.0,5.454545454545454,0.521,40.0,0.00342931249178946,0.04983055219054222
P050_B00_L00_p0550_d40,d00,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,0.0,0.002469461876899004,0.04985496401786804
P050_B00_L00_p0550_d40,d00,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,-20.0,0.0026111153420060873,0.04984332248568535
P050_B00_L00_p0550_d40,d00,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,-40.0,0.0038171985652297735,0.04999565705657005
P050_B00_L00_p0550_d40,d00,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,20.0,0.0024245548993349075,0.049845919013023376
P050_B00_L00_p0550_d40,d00,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,40.0,0.003658996894955635,0.05000469833612442
P050_B00_L00_p0550_d40,d76,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,0.0,0.002046070294454694,0.04984968528151512
P050_B00_L00_p0550_d40,d76,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,-20.0,0.0023128879256546497,0.04983696714043617
P050_B00_L00_p0550_d40,d76,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,-40.0,0.003052657702937722,0.04987335577607155
P050_B00_L00_p0550_d40,d76,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,20.0,0.0022095481399446726,0.049839768558740616
P050_B00_L00_p0550_d40,d76,0.5,0.0,0.0,5.5,40.0,7.2727272727272725,0.521,40.0,0.0030182877089828253,0.049871768802404404
