tag,cells,panel,seed,pitch,depth,wall,paint_frac,paint_mm,shallow,deep,aspect,tip_frac,samples,theta,rho,rho_at60,params_json
RR_p10.0_d80.0_w0.03_f015_s101,25.0,250.0,101,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,-40.0,0.0016689648618921638,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p10.0_d80.0_w0.03_f015_s101,25.0,250.0,101,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,20.0,0.0012494813418015838,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p10.0_d80.0_w0.03_f015_s101,25.0,250.0,101,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,40.0,0.0016569129657000303,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p10.0_d80.0_w0.03_f015_s102,25.0,250.0,102,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,0.0,0.0004203312564641237,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p10.0_d80.0_w0.03_f015_s102,25.0,250.0,102,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,-20.0,0.0012549208477139473,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p10.0_d80.0_w0.03_f015_s102,25.0,250.0,102,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,-40.0,0.0016615979839116335,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p10.0_d80.0_w0.03_f015_s102,25.0,250.0,102,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,20.0,0.0012460191501304507,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p10.0_d80.0_w0.03_f015_s102,25.0,250.0,102,10.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,8.0,0.006,128,40.0,0.0016450408147647977,0.0016484730488931139,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 250.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 10.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s23,25.0,162.5,23,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,0.0,0.00035308138467371464,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s23,25.0,162.5,23,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,-20.0,0.001128202653490007,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
