tag,family,topology,depth,pitch,aspect,seed,diffuse_frac,theta,rho,control,params_json
P52_d50_p0833,floor,pyramid,50.0,8.33,6.002,23,d100,40.0,0.0016720215789973736,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 8.33, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d00,0.0,0.000960537523496896,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d00,-20.0,0.0006375464727170765,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d00,20.0,0.0005955263040959835,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d00,-40.0,0.0006526416982524097,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d00,40.0,0.0006241786759346724,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d76,0.0,0.0005098534747958183,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d76,-20.0,0.0008538875845260918,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d76,20.0,0.0008184576872736216,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0400,floor,pyramid,50.0,4.0,12.5,23,d76,-40.0,0.000979180564172566,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 4.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
