tag,family,topology,wall_top,seed,diffuse_frac,theta,rho,control,params_json
P7_box_flat,stack,box,3.0,23,d100,20.0,0.0017470483435317874,0.04788201302289963,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d100,-40.0,0.00255895615555346,0.04781506210565567,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_flat,stack,box,3.0,23,d100,40.0,0.0026745491195470095,0.04780236631631851,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 3.0}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d00,0.0,0.00045331980800256133,0.049643829464912415,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d00,-20.0,0.0003626936231739819,0.04963165149092674,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d00,20.0,0.0003769315662793815,0.04961983114480972,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d00,-40.0,0.00029305784846656024,0.04961046949028969,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d00,40.0,0.0003110600227955729,0.04961015656590462,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d76,0.0,0.0003057618741877377,0.04963057115674019,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
P7_box_taper,stack,box,0.5,23,d76,-20.0,0.0009452996891923249,0.04961763322353363,"{""backing"": 2.0, ""bot"": ""pyramid"", ""bot_depth"": 20.0, ""bot_params"": {""margin_depth_ref"": 240.0, ""pitch"": 4.0, ""tip_flat"": 0.1}, ""face_h"": 240.0, ""face_w"": 240.0, ""margin_depths"": 0.5, ""seed"": 23, ""top"": ""comb"", ""top_depth"": 220.0, ""top_params"": {""jitter"": 0.0, ""pitch"": 110.0, ""wall_bot"": 3.0, ""wall_top"": 0.5}, ""winding"": ""out""}"
