tag,family,topology,shape,pitch,open_frac,wall,nu,nv,hole_mm,hole_aspect,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
P2_n08_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,8,12,0.13322,3.7532,0.18182,23,d100,20.0,0.002337399171665311,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n08_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,8,12,0.13322,3.7532,0.18182,23,d100,-40.0,0.003017580835148692,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n08_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,8,12,0.13322,3.7532,0.18182,23,d100,40.0,0.002992352470755577,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d00,0.0,0.00221970840357244,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d00,-20.0,0.0017830953001976013,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d00,20.0,0.0017777285538613796,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d00,-40.0,0.0023010645527392626,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d00,40.0,0.0023315977305173874,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d76,0.0,0.0019057680619880557,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d76,-20.0,0.0021928332280367613,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d76,20.0,0.0021614632569253445,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d76,-40.0,0.0027926969341933727,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d76,40.0,0.002758401446044445,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d100,0.0,0.0018257694318890572,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d100,-20.0,0.0023312580306082964,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d100,20.0,0.0022895080037415028,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d100,-40.0,0.0029565186705440283,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n12_w050,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.5,12,18,0.08881,5.6298,0.18182,23,d100,40.0,0.0029153742361813784,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 12, ""nv"": 18, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d00,0.0,0.001686299336142838,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
P2_n08_w025,perf,perforated pyramid,perforated pyramid,5.5,0.35,0.25,8,12,0.13322,1.8766,0.09091,23,d00,-20.0,0.0013262225547805429,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 8, ""nv"": 12, ""open_frac"": 0.35, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.25}"
